timestamp,PortXmitData,PortRcvData,PortXmitPkts,PortRcvPkts,PortXmitWait
0,1098304,1397763,15620,20642,0
1,360,360,5,5,0
2,360,360,5,5,0
3,729,711,10,10,0
4,576,576,8,8,0
5,360,360,5,5,0
6,801,783,11,11,0
7,648,648,9,9,0
8,1944,1952,27,27,0
9,367,378,6,6,0
10,747,718,11,11,0
11,360,360,5,5,0
12,792,792,11,11,0
13,360,360,5,5,0
14,513,495,7,7,0
15,792,792,11,11,0
16,576,576,8,8,0
17,367,378,6,6,0
18,513,495,7,7,0
19,576,576,8,8,0
20,576,576,8,8,0
21,360,360,5,5,0
22,513,495,7,7,0
23,576,576,8,8,0
24,576,576,8,8,0
25,576,576,8,8,0
26,513,495,7,7,0
27,576,576,8,8,0
28,576,2801,8,64,0
29,513,495,7,7,0
