timestamp,PortXmitData,PortRcvData,PortXmitPkts,PortRcvPkts,PortXmitWait
0,1320111,1619801,19094,24119,0
1,864,864,12,12,0
2,1008,1008,14,14,0
3,1080,1080,15,15,0
4,1224,1224,17,17,0
5,864,864,12,12,0
6,1224,1224,17,17,0
7,1080,1080,15,15,0
8,1224,1304,17,18,0
9,864,864,12,12,0
10,1008,1008,14,14,0
11,1080,1080,15,15,0
12,1440,1440,20,20,0
13,936,936,13,13,0
14,936,936,13,13,0
15,1368,1368,19,19,0
16,1159,1170,17,17,0
17,936,936,13,13,0
18,936,936,13,13,0
19,1152,1152,16,16,0
20,1152,1152,16,16,0
21,1008,1008,14,14,0
22,864,864,12,12,0
23,1224,1224,17,17,0
24,1080,1080,15,15,0
25,1224,1224,17,17,0
26,864,864,12,12,0
27,1224,1224,17,17,0
28,1080,3305,15,71,0
29,1008,1008,14,14,0
