timestamp,PortXmitData,PortRcvData,PortXmitPkts,PortRcvPkts,PortXmitWait
0,1128169,1414498,17010,21652,0
1,2608,2080,55,39,0
2,360,360,5,5,0
3,1615,1295,31,24,0
4,2654,2063,54,40,0
5,1574,1271,39,29,0
6,1358,1199,36,28,0
7,1358,1199,36,28,0
8,1358,1199,36,28,0
9,1142,1063,33,26,0
10,1142,983,33,25,0
11,1142,983,33,25,0
12,1574,1415,39,31,0
13,1142,983,33,25,0
14,1160,990,34,26,0
15,1142,983,33,25,0
16,1797,1649,43,35,0
17,1142,983,33,25,0
18,1142,983,33,25,0
19,1142,983,33,25,0
20,1358,1199,36,28,0
21,1412,1220,39,31,0
22,1358,1199,36,28,0
23,1142,983,33,25,0
24,1574,1415,39,31,0
25,1142,983,33,25,0
26,1376,1206,37,29,0
27,2064,1822,60,48,0
28,1454,3385,40,83,0
29,1161,983,34,25,0
