timestamp,PortXmitData,PortRcvData,PortXmitPkts,PortRcvPkts,PortXmitWait
0,1323590,1655911,19348,25007,0
1,504,796,7,13,0
2,360,360,5,5,0
3,873,1019,12,16,0
4,729,1067,10,18,0
5,504,860,7,15,0
6,801,1139,11,19,0
7,648,1004,9,17,0
8,801,1219,11,20,0
9,432,788,6,14,0
10,585,923,8,16,0
11,655,1022,10,18,0
12,1017,1355,14,22,0
13,432,788,6,14,0
14,585,923,8,16,0
15,864,1220,12,20,0
16,801,1139,11,19,0
17,504,860,7,15,0
18,675,1002,10,18,0
19,2016,2300,28,35,0
20,801,1139,11,19,0
21,432,788,6,14,0
22,592,941,9,17,0
23,648,1004,9,17,0
24,873,1211,12,20,0
25,576,932,8,16,0
26,657,995,9,17,0
27,576,932,8,16,0
28,873,3436,12,76,0
29,585,1279,8,24,0
