timestamp,PortXmitData,PortRcvData,PortXmitPkts,PortRcvPkts,PortXmitWait
0,1583112,1829474,23166,27152,0
1,2196,1466,44,27,0
2,576,576,8,8,0
3,1831,1347,34,23,0
4,4319,3282,77,54,0
5,1790,1131,42,24,0
6,1430,915,37,21,0
7,1574,1059,39,23,0
8,1583,1130,39,24,0
9,1358,843,36,20,0
10,1430,915,37,21,0
11,1358,843,36,20,0
12,1799,1266,42,26,0
13,1358,843,36,20,0
14,1286,771,35,19,0
15,1718,1203,41,25,0
16,1662,1140,41,25,0
17,1286,771,35,19,0
18,1286,771,35,19,0
19,1502,987,38,22,0
20,1727,1194,41,25,0
21,1214,699,34,18,0
22,1358,843,36,20,0
23,1502,987,38,22,0
24,1655,1122,40,24,0
25,1502,987,38,22,0
26,1286,771,35,19,0
27,1502,987,38,22,0
28,1766,3380,42,80,0
29,1920,966,58,30,0
