timestamp,PortXmitData_mlx5_0,PortRcvData_mlx5_0,PortXmitPkts_mlx5_0,PortRcvPkts_mlx5_0,PortXmitWait_mlx5_0,PortXmitData_mlx5_1,PortRcvData_mlx5_1,PortXmitPkts_mlx5_1,PortRcvPkts_mlx5_1,PortXmitWait_mlx5_1,PortXmitData_mlx5_2,PortRcvData_mlx5_2,PortXmitPkts_mlx5_2,PortRcvPkts_mlx5_2,PortXmitWait_mlx5_2,PortXmitData_mlx5_4,PortRcvData_mlx5_4,PortXmitPkts_mlx5_4,PortRcvPkts_mlx5_4,PortXmitWait_mlx5_4,PortRcvData_sum,PortXmitPkts_sum,PortRcvPkts_sum,PortXmitWait_sum,PortXmitData_sum
0,1128169,1414498,17010,21652,0,1106445,1406564,16306,21349,0,1103104,1402574,16072,21094,0,1113866,1413792,16630,21665,0,5637428,66018,85760,0,4451584
1,2608,2080,55,39,0,1080,1080,15,15,0,576,576,8,8,0,792,792,11,11,0,4528,89,73,0,5056
2,360,360,5,5,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,1944,27,27,0,1944
3,1615,1295,31,24,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3797,66,59,0,4153
4,2654,2063,54,40,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,4565,89,75,0,5192
5,1574,1271,39,29,0,864,864,12,12,0,360,360,5,5,0,374,396,7,7,0,2891,63,53,0,3172
6,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3701,71,63,0,3896
7,1358,1199,36,28,0,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,3431,67,59,0,3590
8,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,736,729,11,11,0,3719,72,64,0,3903
9,1142,1063,33,26,0,871,962,13,14,0,360,440,5,6,0,360,440,5,6,0,2905,56,52,0,2733
10,1142,983,33,25,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2837,59,51,0,3032
11,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,55,47,0,2726
12,1574,1415,39,31,0,1296,1296,18,18,0,963,934,14,14,0,945,927,13,13,0,4572,84,76,0,4778
13,1142,983,33,25,0,885,918,15,15,0,360,360,5,5,0,360,360,5,5,0,2621,58,50,0,2747
14,1160,990,34,26,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2844,60,52,0,3050
15,1142,983,33,25,0,963,963,14,14,0,473,495,9,9,0,576,565,10,10,0,3006,66,58,0,3154
16,1797,1649,43,35,0,1512,1512,21,21,0,1161,1143,16,16,0,1161,1143,16,16,0,5447,96,88,0,5631
17,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,55,47,0,2726
18,1142,983,33,25,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2837,59,51,0,3032
19,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,2567,55,47,0,2726
20,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3701,71,63,0,3896
21,1412,1220,39,31,0,1152,1108,19,19,0,612,590,10,10,0,648,604,12,12,0,3522,80,72,0,3824
22,1358,1199,36,28,0,1080,1080,15,15,0,729,711,10,10,0,729,711,10,10,0,3701,71,63,0,3896
23,1142,983,33,25,0,936,936,13,13,0,360,360,5,5,0,360,360,5,5,0,2639,56,48,0,2798
24,1574,1415,39,31,0,1224,1224,17,17,0,945,927,13,13,0,801,783,11,11,0,4349,80,72,0,4544
25,1142,983,33,25,0,864,864,12,12,0,360,360,5,5,0,504,504,7,7,0,2711,57,49,0,2870
26,1376,1206,37,29,0,1098,1087,16,16,0,729,711,10,10,0,729,711,10,10,0,3715,73,65,0,3932
27,2064,1822,60,48,0,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,4054,91,79,0,4296
28,1454,3385,40,83,0,1080,3305,15,71,0,729,2936,10,66,0,729,2936,10,66,0,12562,75,286,0,3992
29,1161,983,34,25,0,864,864,12,12,0,513,495,7,7,0,513,495,7,7,0,2837,60,51,0,3051
