timestamp,PortXmitData,PortRcvData,PortXmitPkts,PortRcvPkts,PortXmitWait
0,1106445,1406564,16306,21349,0
1,1080,1080,15,15,0
2,864,864,12,12,0
3,1080,1080,15,15,0
4,1080,1080,15,15,0
5,864,864,12,12,0
6,1080,1080,15,15,0
7,1080,1080,15,15,0
8,1080,1080,15,15,0
9,871,962,13,14,0
10,864,864,12,12,0
11,864,864,12,12,0
12,1296,1296,18,18,0
13,885,918,15,15,0
14,864,864,12,12,0
15,963,963,14,14,0
16,1512,1512,21,21,0
17,864,864,12,12,0
18,864,864,12,12,0
19,864,864,12,12,0
20,1080,1080,15,15,0
21,1152,1108,19,19,0
22,1080,1080,15,15,0
23,936,936,13,13,0
24,1224,1224,17,17,0
25,864,864,12,12,0
26,1098,1087,16,16,0
27,1080,1080,15,15,0
28,1080,3305,15,71,0
29,864,864,12,12,0
