timestamp,PortXmitData,PortRcvData,PortXmitPkts,PortRcvPkts,PortXmitWait
0,34296,39065,511,577,0
1,360,360,5,5,0
2,360,360,5,5,0
3,360,360,5,5,0
4,792,792,11,11,0
5,360,360,5,5,0
6,360,360,5,5,0
7,601,601,10,10,0
8,792,792,11,11,0
9,360,360,5,5,0
10,378,367,6,6,0
11,590,612,10,10,0
12,576,576,8,8,0
13,675,675,10,10,0
14,360,360,5,5,0
15,576,576,8,8,0
16,360,360,5,5,0
17,828,806,13,13,0
18,360,360,5,5,0
19,576,656,8,9,0
20,360,360,5,5,0
21,576,576,8,8,0
22,360,360,5,5,0
23,576,576,8,8,0
24,360,2433,5,32,0
25,576,576,8,8,0
26,576,810,8,14,0
27,648,648,9,9,0
28,1170,1243,17,20,0
29,1368,1440,19,20,0
30,396,674,7,12,0
31,576,4167,8,57,0
32,576,576,8,8,0
33,396,374,7,7,0
34,374,1923,7,30,0
35,3815634109,1013966,3735111,50665,1061460404
36,4273042348,1122322,4182597,56043,1152538492
37,4176919113,1097112,4088490,55359,1200391071
38,4155414921,1097949,4067428,55842,1210072390
39,4153695951,1083290,4065740,54019,1045986847
40,4182556280,1111231,4094187,55630,1198801628
41,4291911331,1130579,4201004,57426,1139673018
42,4149220264,1108401,4061347,57678,1204901978
43,4181650706,1103724,4093123,55776,1155016712
44,3868510973,1021716,3786639,51812,1213262798
45,4228056219,1102051,4138582,54376,1172306841
46,4265010785,1124262,4174647,57318,1128602764
47,4174698207,1090438,4086342,53982,1141049129
48,4269471954,1125727,4179056,57145,1158814853
49,4109388514,1081775,4022429,54139,1228816792
50,4161248314,1099600,4073070,56596,1199521927
51,4103953234,1083670,4017073,54653,1236549909
52,4294967295,1141376,4243441,57803,1119483360
53,4236953924,1116969,4147257,56446,1162233460
54,4166852736,1099275,4078653,55456,1183004506
55,4294967295,1120104,4204422,55860,1105886965
56,4238874986,1112959,4149087,56126,1159855618
57,4199230077,1107374,4110340,56133,1188000361
58,4110131712,1086746,4023147,55055,1226554487
59,4145138962,1093348,4057352,55603,1177463388
60,4294967295,1127888,4225375,56403,1131630419
61,4294967295,1133969,4238833,56692,1126299105
62,4279086042,1127316,4188453,56740,1146019652
63,4294967295,1142563,4283702,57044,1062402681
64,4294967295,1147877,4282362,57427,1080842209
65,4294967295,1164712,4350940,58242,1062553923
66,4294967295,1131970,4225394,57296,1123505984
67,4210000498,1103594,4120863,54937,1063283026
68,4262743209,1111288,4172509,55082,1117105230
69,4294967295,1175304,4338548,60167,1070568679
70,4294967295,1128252,4218459,56466,1084765389
71,4255173560,1111528,4165094,55403,1057075066
72,4294967295,1165470,4332525,58568,1051910193
73,4294967295,1223917,4606586,60492,900626994
74,4294967295,1273722,4830163,62511,746728886
75,4294967295,1224790,4588665,60235,761999695
76,4294967295,1121119,4257529,55149,643574240
77,3887896466,1011444,3805547,49821,779310737
78,3110926165,815340,3045059,40744,911918502
79,2940190796,771364,2877929,38456,871640303
80,2894240854,756669,2832887,38103,921739047
81,2968200938,770203,2905326,37762,823489152
82,3174523855,829608,3107247,41448,894763045
83,3006782812,781531,2943097,38644,901350814
84,3052980399,802429,2988270,40330,990170063
85,3038083176,789983,2973704,39244,825988500
86,2873537892,752923,2812691,37464,824971808
87,2829731307,736910,2769781,36583,853762625
88,3061298860,806678,2996474,40577,936604100
89,3011386782,782430,2947587,38818,773138845
90,2953351144,771907,2890791,38280,910310228
91,3020829397,787126,2956807,38914,908558007
92,2748272440,718032,2690082,35650,769644895
93,2984865673,784432,2921601,39202,889629707
94,3107727376,811237,3041916,40208,866151305
95,2932161887,764542,2870009,37986,843255653
96,3008186360,784337,2944466,38873,846795111
97,2896173349,755050,2834816,37403,898867508
98,3038948689,794662,2974561,39523,845667488
99,2902027706,761007,2840563,38192,884194314
100,2762950365,721375,2704368,35900,918060293
101,2666360996,696933,2609891,34777,960335550
102,2702127719,711206,2644890,35535,858052752
103,2682575129,697875,2625747,34612,805969693
104,2662013393,691306,2605626,34003,837075288
105,2913417622,760415,2851727,37692,802626868
106,2859451842,744376,2798838,36809,742325643
107,2749534254,716973,2691331,35371,616796650
108,1692934461,444430,1657077,22001,444625465
109,1261649147,328665,1234934,16169,323746410
110,1211014621,315157,1185366,15461,268832216
111,814376685,214689,797152,10352,173378767
112,529,1109,11,11,0
113,576,576,8,8,0
114,576,728,8,10,0
115,504,504,7,7,0
116,8471,9285,113,113,0
117,360,360,5,5,0
118,792,792,11,11,0
119,360,360,5,5,0
120,360,360,5,5,0
121,576,576,8,8,0
122,792,792,11,11,0
123,360,360,5,5,0
124,360,360,5,5,0
125,459,459,7,7,0
126,792,792,11,11,0
127,360,360,5,5,0
128,360,360,5,5,0
129,360,360,5,5,0
130,1224,1224,17,17,0
131,360,360,5,5,0
132,360,360,5,5,0
133,792,872,11,12,0
134,360,360,5,5,0
135,360,360,5,5,0
136,360,360,5,5,0
137,792,792,11,11,0
138,360,360,5,5,0
139,360,360,5,5,0
140,576,576,8,8,0
141,792,792,11,11,0
