timestamp,PortXmitData_mlx5_1,PortRcvData_mlx5_1,PortXmitPkts_mlx5_1,PortRcvPkts_mlx5_1,PortXmitWait_mlx5_1,PortXmitData_mlx5_4,PortRcvData_mlx5_4,PortXmitPkts_mlx5_4,PortRcvPkts_mlx5_4,PortXmitWait_mlx5_4,PortXmitData_mlx5_2,PortRcvData_mlx5_2,PortXmitPkts_mlx5_2,PortRcvPkts_mlx5_2,PortXmitWait_mlx5_2,PortXmitData_mlx5_0,PortRcvData_mlx5_0,PortXmitPkts_mlx5_0,PortRcvPkts_mlx5_0,PortXmitWait_mlx5_0,PortRcvPkts_sum,PortXmitData_sum,PortRcvData_sum,PortXmitPkts_sum,PortXmitWait_sum
39,3946323544,1050568,3862752,53863,1089204971,4153695951,1083290,4065740,54019,1045986847,4150928743,1080275,4063039,53380,1039392945,4111287647,1072977,4024211,53230,1054609995,214492,16362235885,4287110,16015742,4229194758
40,4198300275,1122288,4109569,57027,1184971794,4182556280,1111231,4094187,55630,1198801628,4101059162,1100658,4014402,56441,1237883023,4157440075,1111138,4069566,56597,1205193767,225695,16639355792,4445315,16287724,4826850212
41,4229625726,1106216,4140043,55272,1167072585,4291911331,1130579,4201004,57426,1139673018,4139404587,1105909,4051730,57173,1218615420,4202073434,1104570,4113069,56115,1185370413,225986,16863015078,4447274,16505846,4710731436
42,4294967295,1142805,4236225,58697,1123471230,4149220264,1108401,4061347,57678,1204901978,4263490897,1110831,4173190,55415,1150500514,4294967295,1140140,4245713,57515,1110041983,229305,17002645751,4502177,16716475,4588915705
43,4206057041,1121714,4117040,57274,1113105216,4181650706,1103724,4093123,55776,1155016712,4213133683,1106650,4123953,55433,1092436853,4098221409,1078151,4011439,54089,1180190469,222572,16699062839,4410239,16345555,4540749250
44,3631400822,961133,3554525,48938,1270633654,3868510973,1021716,3786639,51812,1213262798,3779155898,988647,3699137,49690,1239291473,3725603635,991732,3646706,51377,1267834454,201817,15004671328,3963228,14687007,4991022379
45,4175045798,1103588,4086707,55803,1180769862,4228056219,1102051,4138582,54376,1172306841,4294967295,1136860,4205156,57796,1133282166,4138064677,1124525,4050457,60131,1207839519,228106,16836133989,4467024,16480902,4694198388
46,4163972698,1095042,4075708,55853,1194514961,4265010785,1124262,4174647,57318,1128602764,4294967295,1118082,4219518,55145,1103237507,4294967295,1139065,4219517,57922,1121043518,226238,17018918073,4476451,16689390,4547398750
47,4196054988,1101786,4107246,55185,1148725923,4174698207,1090438,4086342,53982,1141049129,4264310366,1124345,4174027,56813,1090059630,4240507539,1122695,4150731,57179,1146942344,223159,16875571100,4439264,16518346,4526777026
48,4294967295,1143768,4210582,58225,1130523373,4269471954,1125727,4179056,57145,1158814853,4273970861,1116146,4183450,55549,1151604852,4178547079,1107221,4090031,56238,1187537189,227157,17016957189,4492862,16663119,4628480267
49,4200552193,1123234,4111590,58602,1187788192,4109388514,1081775,4022429,54139,1228816792,4294967295,1140732,4232671,57689,1123856640,4233112380,1110525,4143473,55778,1175415920,226208,16838020382,4456266,16510163,4715877544
50,4290861945,1135778,4200000,57784,1138235921,4161248314,1099600,4073070,56596,1199521927,4242236354,1108332,4152383,55374,1166831041,4172386838,1111463,4084018,57413,1157020582,227167,16866733451,4455173,16509471,4661609471
51,4269565139,1121783,4179194,56257,1101399165,4103953234,1083670,4017073,54653,1236549909,4289516903,1129188,4198669,56856,1139002555,4193964706,1128018,4105126,58960,1192391497,226726,16856999982,4462659,16500062,4669343126
52,4294967295,1143479,4230008,58653,1118659775,4294967295,1141376,4243441,57803,1119483360,4271441390,1120189,4181016,56079,1153803337,4148876933,1099540,4061002,56587,1209300756,229122,17010252913,4504584,16715467,4601247228
53,4167218137,1111100,4079028,56959,1202389550,4236953924,1116969,4147257,56446,1162233460,4246212007,1119630,4156277,56774,1154572750,4219565454,1122863,4130197,57627,1173181379,227806,16869949522,4470562,16512759,4692377139
54,4294967295,1158331,4292709,58548,1091672268,4166852736,1099275,4078653,55456,1183004506,4213853575,1105421,4124639,55674,1153415730,4273454772,1120679,4182986,56276,1141502485,225954,16949128378,4483706,16678987,4569594989
55,4131298227,1097268,4043797,56453,1193971886,4294967295,1120104,4204422,55860,1105886965,4294967295,1131691,4204712,57232,1121834700,4126011470,1089654,4038605,55429,1215887096,224974,16847244287,4438717,16491536,4637580647
