timestamp,PortXmitData_mlx5_1,PortRcvData_mlx5_1,PortXmitPkts_mlx5_1,PortRcvPkts_mlx5_1,PortXmitWait_mlx5_1,PortXmitData_mlx5_4,PortRcvData_mlx5_4,PortXmitPkts_mlx5_4,PortRcvPkts_mlx5_4,PortXmitWait_mlx5_4,PortXmitData_mlx5_2,PortRcvData_mlx5_2,PortXmitPkts_mlx5_2,PortRcvPkts_mlx5_2,PortXmitWait_mlx5_2,PortXmitData_mlx5_0,PortRcvData_mlx5_0,PortXmitPkts_mlx5_0,PortRcvPkts_mlx5_0,PortXmitWait_mlx5_0,PortRcvPkts_sum,PortXmitData_sum,PortRcvData_sum,PortXmitPkts_sum,PortXmitWait_sum
129,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
130,1728,1728,24,24,0,1224,1224,17,17,0,1224,1224,17,17,0,1224,1224,17,17,0,75,5400,5400,75,0
131,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
132,864,944,12,13,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,28,1944,2024,27,0
133,1296,1296,18,18,0,792,872,11,12,0,792,872,11,12,0,792,872,11,12,0,54,3672,3912,51,0
134,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
135,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
136,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
137,1296,1296,18,18,0,792,792,11,11,0,792,792,11,11,0,792,792,11,11,0,51,3672,3672,51,0
138,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
139,864,864,12,12,0,360,360,5,5,0,360,360,5,5,0,360,360,5,5,0,27,1944,1944,27,0
140,1080,1080,15,15,0,576,576,8,8,0,576,576,8,8,0,576,576,8,8,0,39,2808,2808,39,0
141,1296,1296,18,18,0,792,792,11,11,0,792,792,11,11,0,799,810,12,12,0,52,3679,3690,52,0
