timestamp,PortXmitData,PortRcvData,PortXmitPkts,PortRcvPkts,PortXmitWait
0,34497,39381,535,595,0
1,360,360,5,5,0
2,360,360,5,5,0
3,367,378,6,6,0
4,792,792,11,11,0
5,360,360,5,5,0
6,360,360,5,5,0
7,583,594,9,9,0
8,792,792,11,11,0
9,360,360,5,5,0
10,594,583,9,9,0
11,385,385,7,7,0
12,576,576,8,8,0
13,576,576,8,8,0
14,360,360,5,5,0
15,576,576,8,8,0
16,504,504,7,7,0
17,856,845,20,20,0
18,360,360,5,5,0
19,576,656,8,9,0
20,360,360,5,5,0
21,576,576,8,8,0
22,360,360,5,5,0
23,576,576,8,8,0
24,360,2433,5,32,0
25,576,576,8,8,0
26,648,882,9,15,0
27,648,648,9,9,0
28,1728,1812,24,27,0
29,792,792,11,11,0
30,360,660,5,10,0
31,576,4167,8,57,0
32,576,576,8,8,0
33,360,360,5,5,0
34,10352,11928,120,143,0
35,3908672573,1051456,3826076,54532,1116833984
36,4110174102,1089974,4023115,55645,1232605650
37,4294967295,1131503,4218934,57133,1131640741
38,4215536893,1113734,4126297,56177,1175455878
39,4111287647,1072977,4024211,53230,1054609995
40,4157440075,1111138,4069566,56597,1205193767
41,4202073434,1104570,4113069,56115,1185370413
42,4294967295,1140140,4245713,57515,1110041983
43,4098221409,1078151,4011439,54089,1180190469
44,3725603635,991732,3646706,51377,1267834454
45,4138064677,1124525,4050457,60131,1207839519
46,4294967295,1139065,4219517,57922,1121043518
47,4240507539,1122695,4150731,57179,1146942344
48,4178547079,1107221,4090031,56238,1187537189
49,4233112380,1110525,4143473,55778,1175415920
50,4172386838,1111463,4084018,57413,1157020582
51,4193964706,1128018,4105126,58960,1192391497
52,4148876933,1099540,4061002,56587,1209300756
53,4219565454,1122863,4130197,57627,1173181379
54,4273454772,1120679,4182986,56276,1141502485
55,4126011470,1089654,4038605,55429,1215887096
56,4276279806,1122653,4185722,56405,1138690985
57,4254104379,1139343,4164041,59401,1171302684
58,4252658851,1112791,4162639,55573,1140050731
59,4134158324,1088278,4046595,54816,1183201091
60,4221949217,1117902,4132573,57011,1178029809
61,4294967295,1138892,4210114,58394,1138115204
62,4294967295,1130708,4254615,56177,1090439800
63,4066949468,1067912,3980810,53579,1168328470
64,4037418876,1077381,3951911,55502,1250791589
65,4183174575,1101164,4094598,55917,1171544286
66,4208105952,1119452,4118940,57518,1143389675
67,4006542902,1064239,3921734,54494,1182138417
68,3975632599,1063419,3891428,55214,1266378393
69,4197260859,1117565,4108354,57698,1170014253
70,4077008138,1089346,3990649,56524,1192205571
71,3942402473,1052256,3858891,54578,1185129714
72,4057825553,1091792,3971857,56985,1237821853
73,3780075770,1010703,3700019,52589,1292194570
74,3293815916,896411,3223975,48077,1304461273
75,3162864364,836465,3095852,42590,1055042474
76,3276990138,864420,3207555,43887,957775167
77,3343209101,872558,3272363,43571,1002838688
78,3307522262,862046,3237442,42883,890152563
79,3013425574,788269,2949657,38870,841238147
80,3178631992,826669,3111241,41283,850808064
81,3219771905,840483,3151560,41655,816649354
82,3165143962,826668,3098101,41037,883802832
83,3132157748,818875,3065798,40974,905673426
84,3222060678,842672,3153768,41942,905227685
85,3105086321,806780,3039296,40000,722938929
86,3062993130,799496,2998151,39571,839496323
87,3092797471,806928,3027281,39839,766418597
88,3307799841,857630,3237694,42523,859450574
89,3243675112,844199,3174973,41678,823525807
90,3197903250,834809,3130126,41529,923426045
91,3247774467,849358,3178966,42260,852239529
92,3089449307,803641,3023952,39711,813917235
93,3187232299,834928,3119719,41489,839883086
94,3293524146,856389,3223758,42193,873539260
95,3083108722,802394,3017822,39475,774122519
96,3193248251,831678,3125586,41195,888753641
97,3117275242,816368,3051238,40675,848292625
98,3206231712,832441,3138262,41138,868616882
99,3364384496,875572,3293146,43133,864473313
100,3364060801,868643,3292745,42710,788712989
101,3494323392,911579,3420295,45159,855065600
102,3404192202,885335,3332112,43651,819646494
103,3465008214,900554,3391633,44222,721672697
104,2942591326,764867,2880246,37748,712243918
105,2703246538,705949,2645995,34941,703638638
106,2227871935,583275,2180716,28523,643626583
107,1958522520,506910,1917004,25115,598856680
108,1839728959,482019,1800771,23827,494008711
109,1379797219,358516,1350571,17682,346495736
110,928304377,244055,908658,11946,240470751
111,928303974,241907,908648,11777,211142566
112,818595296,212374,801266,10293,138347816
113,746862459,192111,731036,9389,108355850
114,896212353,233563,877306,11319,126633142
115,748520385,193867,732657,9418,94111484
116,506359146,145849,495792,6562,76359969
117,360,360,5,5,0
118,792,792,11,11,0
119,406,406,7,7,0
120,360,360,5,5,0
121,576,576,8,8,0
122,792,792,11,11,0
123,360,360,5,5,0
124,360,360,5,5,0
125,558,558,9,9,0
126,792,792,11,11,0
127,360,360,5,5,0
128,360,360,5,5,0
129,360,360,5,5,0
130,1224,1224,17,17,0
131,360,360,5,5,0
132,360,360,5,5,0
133,792,872,11,12,0
134,360,360,5,5,0
135,360,360,5,5,0
136,360,360,5,5,0
137,792,792,11,11,0
138,360,360,5,5,0
139,360,360,5,5,0
140,576,576,8,8,0
141,799,810,12,12,0
