timestamp,PortXmitData,PortRcvData,PortXmitPkts,PortRcvPkts,PortXmitWait
0,33654,38638,490,556,0
1,360,360,5,5,0
2,360,360,5,5,0
3,360,360,5,5,0
4,792,792,11,11,0
5,374,396,7,7,0
6,360,360,5,5,0
7,594,583,9,9,0
8,792,792,11,11,0
9,367,378,6,6,0
10,360,360,5,5,0
11,594,583,9,9,0
12,576,576,8,8,0
13,576,576,8,8,0
14,360,360,5,5,0
15,576,576,8,8,0
16,360,360,5,5,0
17,792,792,11,11,0
18,360,360,5,5,0
19,576,656,8,9,0
20,360,360,5,5,0
21,576,576,8,8,0
22,360,360,5,5,0
23,576,576,8,8,0
24,360,2433,5,32,0
25,576,576,8,8,0
26,576,810,8,14,0
27,576,576,8,8,0
28,468,602,8,12,0
29,864,864,12,12,0
30,1728,1956,24,28,0
31,576,4167,8,57,0
32,576,576,8,8,0
33,378,367,6,6,0
34,360,1887,5,28,0
35,3912882248,1045113,3830327,52347,1044402179
36,4187704535,1113441,4098997,57137,1193123577
37,4252876019,1116785,4162818,56288,1164730359
38,4150417869,1111001,4062531,57798,1213371177
39,4150928743,1080275,4063039,53380,1039392945
40,4101059162,1100658,4014402,56441,1237883023
41,4139404587,1105909,4051730,57173,1218615420
42,4263490897,1110831,4173190,55415,1150500514
43,4213133683,1106650,4123953,55433,1092436853
44,3779155898,988647,3699137,49690,1239291473
45,4294967295,1136860,4205156,57796,1133282166
46,4294967295,1118082,4219518,55145,1103237507
47,4264310366,1124345,4174027,56813,1090059630
48,4273970861,1116146,4183450,55549,1151604852
49,4294967295,1140732,4232671,57689,1123856640
50,4242236354,1108332,4152383,55374,1166831041
51,4289516903,1129188,4198669,56856,1139002555
52,4271441390,1120189,4181016,56079,1153803337
53,4246212007,1119630,4156277,56774,1154572750
54,4213853575,1105421,4124639,55674,1153415730
55,4294967295,1131691,4204712,57232,1121834700
56,4155856220,1094312,4067878,55236,1198538505
57,4294967295,1124927,4222774,55897,1135331442
58,4244249619,1112840,4154368,55816,1156029766
59,4158372125,1092354,4070287,55059,1173350952
60,4294967295,1133481,4212888,57251,1140445962
61,4196552387,1109609,4107720,56478,1192395799
62,4085189762,1081473,3998658,55355,1237705799
63,3995939329,1060399,3911309,54342,1252779783
64,4155956478,1088337,4067962,54306,1194404572
65,4143960741,1092653,4056167,55534,1212071829
66,4065706875,1070780,3979589,54362,1243008461
67,4113474491,1072129,4026398,52762,1143546167
68,3862143425,1022827,3780348,52589,1342351897
69,4052903056,1078826,3967085,55357,1249731409
70,4115733555,1084016,4028567,54562,1164017323
71,3994766107,1043175,3910152,52168,1119608908
72,4141096081,1107869,4053390,57713,1182458115
73,4294967295,1126243,4205081,56175,1067504551
74,4294967295,1216034,4561994,60218,846892424
75,4294967295,1121648,4232626,55223,807760124
76,3628516764,940927,3551613,46511,858668374
77,3378952412,879656,3307332,43719,982553099
78,3256600294,852726,3187637,42617,902350059
79,3056913576,797826,2992157,39495,786347749
80,3098927037,810056,3033249,40293,884255272
81,3274889176,849039,3205510,41806,853160628
82,3251394651,844674,3182513,41742,858996539
83,3234214606,846555,3165675,42156,961538928
84,3217181160,836159,3149024,41431,974142203
85,3275040309,850223,3205653,41916,803531897
86,3072497658,800525,3007423,39651,783204837
87,3162382554,820131,3095368,40498,782568482
88,3316965908,865147,3246718,42895,867055387
89,3371636635,879437,3300185,43456,818844026
90,3152317950,823120,3085561,40973,947066411
91,3170244892,829461,3103092,40923,867728175
92,2852780390,740410,2792343,36589,799497603
93,3184995174,834716,3117487,41623,854923716
94,3182118919,827465,3114714,40920,829302839
95,2999234065,780199,2935699,38364,832754324
96,3164653007,827598,3097616,41331,880842006
97,3179688877,831565,3112298,41683,907070441
98,3117176950,815886,3051156,40382,818035136
99,3191214139,828897,3123624,40831,936708539
100,2806923866,735637,2747447,36726,840342991
101,2629863123,688165,2574108,34572,902880502
102,2764748607,727035,2706220,36330,854631849
103,2848600251,743392,2788250,37085,883928210
104,2778699648,725226,2719838,35910,818106353
105,2900600092,757623,2839153,37822,704848247
106,3289813103,854198,3220103,42115,704158791
107,3379868210,878648,3308280,43277,641467475
108,1976690367,518619,1934864,25307,393157725
109,1293041134,335642,1265609,16645,294679389
110,1181478069,310103,1156478,15073,237779901
111,881889248,229674,863224,11115,128699127
112,135026202,35134,132166,1695,13493094
113,16878973,5663,16534,224,845897
114,792,872,11,12,0
115,360,360,5,5,0
116,10879,11927,141,141,0
117,360,360,5,5,0
118,792,792,11,11,0
119,360,360,5,5,0
120,360,360,5,5,0
121,576,576,8,8,0
122,792,792,11,11,0
123,360,360,5,5,0
124,360,360,5,5,0
125,360,360,5,5,0
126,792,792,11,11,0
127,360,360,5,5,0
128,360,360,5,5,0
129,360,360,5,5,0
130,1224,1224,17,17,0
131,360,360,5,5,0
132,360,360,5,5,0
133,792,872,11,12,0
134,360,360,5,5,0
135,360,360,5,5,0
136,360,360,5,5,0
137,792,792,11,11,0
138,360,360,5,5,0
139,360,360,5,5,0
140,576,576,8,8,0
141,792,792,11,11,0
